# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
636,744.00,12.67,484.00,12.67,810.29,37.69,73.53,73.06,73.29,0.22,3.05
639,738.00,12.67,482.00,12.67,810.23,37.80,73.53,73.06,73.29,0.22,3.32
642,800.00,12.67,548.00,12.67,810.14,37.48,73.51,73.06,73.29,0.21,3.59
645,734.00,12.67,476.00,12.67,810.21,37.51,73.49,73.06,73.29,0.21,3.62
648,724.00,12.68,488.00,12.67,810.18,36.94,73.49,73.06,73.29,0.21,4.10
651,728.00,12.67,544.00,12.67,810.23,37.48,73.47,72.95,73.29,0.21,3.35
654,802.00,12.67,550.00,12.67,810.29,37.29,73.47,73.06,73.29,0.20,4.87
657,796.00,12.67,554.00,12.67,810.19,37.03,73.47,73.06,73.29,0.20,4.11
660,806.00,12.67,558.00,12.67,810.21,37.36,73.45,73.06,73.29,0.20,4.94
663,816.00,12.67,548.00,12.67,810.16,37.38,73.44,73.06,73.29,0.19,4.20
666,796.00,12.67,550.00,12.67,810.15,37.40,73.45,73.06,73.29,0.19,4.44
669,730.00,12.67,494.00,12.67,810.26,37.57,73.44,73.06,73.29,0.19,4.64
672,738.00,12.67,492.00,12.67,810.18,37.10,73.45,73.06,73.18,0.19,4.86
675,724.00,12.67,488.00,12.67,810.23,37.31,73.44,73.06,73.18,0.18,4.52
678,802.00,12.67,550.00,12.67,810.22,36.89,73.47,73.06,73.29,0.18,4.39
681,744.00,12.67,498.00,12.67,810.18,36.86,73.45,73.06,73.29,0.18,4.27
684,806.00,12.67,554.00,12.67,810.22,37.38,73.45,73.06,73.29,0.18,3.91
687,796.00,12.67,550.00,12.67,810.16,37.39,73.45,73.06,73.18,0.17,4.11
690,738.00,12.67,478.00,12.67,810.24,36.92,73.45,73.06,73.18,0.17,3.16
693,730.00,12.67,484.00,12.67,810.19,37.33,73.45,73.06,73.29,0.17,3.37
696,724.00,12.67,492.00,12.67,810.18,37.25,73.45,73.06,73.18,0.17,3.59
699,730.00,12.67,488.00,12.67,810.23,37.20,73.44,73.06,73.18,0.17,4.39
702,730.00,12.67,488.00,12.67,810.30,36.79,73.47,73.06,73.18,0.16,3.86
705,800.00,12.67,554.00,12.67,810.22,36.70,73.47,73.06,73.18,0.16,4.06
708,748.00,12.67,488.00,12.67,810.29,36.81,73.49,73.06,73.18,0.16,3.67
711,796.00,12.67,540.00,12.67,810.29,36.68,73.49,73.06,73.18,0.16,3.73
714,792.00,12.68,544.00,12.67,810.21,36.55,73.53,73.06,73.18,0.16,3.88
717,796.00,12.67,548.00,12.67,810.33,36.88,73.56,73.06,73.18,0.16,4.27
720,734.00,12.68,476.00,12.67,810.33,36.48,73.60,73.06,73.18,0.15,3.35
